City,Type,Area,Price,Purpose,Location,Built in year,Bedrooms,Bathrooms,price,Area_sqft,price_category,property_age_group,price_per_sqft,region
karachi,house,120 Sq. Yd.,"PKR
2.35 Crore",For Sale,"Scheme 33, Karachi, Sindh",2025.0,4.0,6.0,23500000.0,1080.0,Mid,New,21759.25925925926,Sindh
karachi,flat,59 Sq. Yd.,"PKR
47.7 Lakh",For Sale,"Bahria Town Karachi, Karachi, Sindh",,1.0,1.0,4770000.0,531.0,Low,,8983.050847457627,Sindh
karachi,flat,139 Sq. Yd.,"PKR
5.2 Crore",For Sale,"DHA Defence, Karachi, Sindh",,2.0,3.0,52000000.0,1251.0,High,,41566.74660271782,Sindh
karachi,flat,151 Sq. Yd.,"PKR
4.7 Crore",For Sale,"DHA Defence, Karachi, Sindh",2013.0,2.0,3.0,47000000.0,1359.0,Mid,Moderate,34584.25312729948,Sindh
karachi,flat,139 Sq. Yd.,"PKR
1.4 Crore",For Sale,"Federal B Area, Karachi, Sindh",,2.0,2.0,14000000.0,1251.0,Mid,,11191.047162270184,Sindh
karachi,flat,128 Sq. Yd.,"PKR
2.5 Crore",For Sale,"Callachi Cooperative Housing Society, Karachi, Sindh",2024.0,2.0,3.0,25000000.0,1152.0,Mid,New,21701.38888888889,Sindh
karachi,house,"1,000 Sq. Yd.","PKR
39.4 Crore",For Sale,"DHA Defence, Karachi, Sindh",,6.0,6.0,394000000.0,9000.0,Luxury,,43777.77777777778,Sindh
karachi,flat,111 Sq. Yd.,"PKR
1.75 Crore",For Sale,"DHA Defence, Karachi, Sindh",,3.0,3.0,17500000.0,999.0,Mid,,17517.517517517517,Sindh
karachi,house,120 Sq. Yd.,"PKR
4.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2014.0,4.0,5.0,45000000.0,1080.0,Mid,Moderate,41666.666666666664,Sindh
karachi,flat,200 Sq. Yd.,"PKR
3.4 Crore",For Sale,"Rashid Minhas Road, Karachi, Sindh",2023.0,3.0,4.0,34000000.0,1800.0,Mid,New,18888.88888888889,Sindh
karachi,flat,300 Sq. Yd.,"PKR
3 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2011.0,4.0,5.0,30000000.0,2700.0,Mid,Moderate,11111.111111111111,Sindh
karachi,house,500 Sq. Yd.,"PKR
23 Crore",For Sale,"DHA Defence, Karachi, Sindh",,5.0,6.0,230000000.0,4500.0,Luxury,,51111.11111111111,Sindh
karachi,house,"1,000 Sq. Yd.","PKR
17.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2011.0,5.0,6.0,175000000.0,9000.0,High,Moderate,19444.444444444445,Sindh
karachi,house,"1,000 Sq. Yd.","PKR
26 Crore",For Sale,"DHA Defence, Karachi, Sindh",2020.0,6.0,6.0,260000000.0,9000.0,Luxury,New,28888.88888888889,Sindh
karachi,house,600 Sq. Yd.,"PKR
19 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,6.0,6.0,190000000.0,5400.0,High,New,35185.18518518518,Sindh
